index	name	voxel_count	x	y	z
206	CC400_209	84	64	-28.7	-9
207	CC400_210	121	-54.2	1.6	2.6
208	CC400_211	156	-9.8	-76.5	42.8
209	CC400_212	105	31.2	44.5	28.2
210	CC400_213	103	0.8	-38.6	-28.7
211	CC400_214	121	-46.9	20.4	25.5
212	CC400_215	132	-35.3	4.1	56.5
213	CC400_216	115	27.5	-45.9	64.5
214	CC400_217	118	-56.5	-60.4	16.1
215	CC400_218	128	52.6	-60.8	5.4
216	CC400_219	114	-30.8	-86	18.4
217	CC400_220	120	37.2	-29.9	58.4
218	CC400_221	97	-36.8	25.3	-12.6
219	CC400_222	103	43	6.8	43.3
220	CC400_223	118	7.4	2.5	44.8
221	CC400_224	127	42	-0.8	-9.1
222	CC400_225	124	15.1	-87.4	-14.7
223	CC400_226	94	-5.3	32.3	26.9
224	CC400_227	117	29.8	-56.2	-27.8
225	CC400_228	94	58.3	-7.9	-24.3
226	CC400_229	98	21.4	-82.7	37.5
227	CC400_230	28	-16.9	-41.1	-43.5
228	CC400_231	198	-24.8	-70.7	-11.7
229	CC400_232	79	8.2	56.7	-8.7
230	CC400_233	86	-12.4	-23.8	12.5
231	CC400_234	161	-46.3	-70	5.9
232	CC400_235	85	-19.5	57.5	22.2
233	CC400_236	135	50.3	13.7	-4.3
234	CC400_237	156	-47.2	-47.8	48.8
235	CC400_238	115	-27.1	-5.5	-8.7
236	CC400_239	84	1.9	-11.3	33.4
237	CC400_240	144	8.8	-66.5	54
238	CC400_241	133	26.1	9.4	58
239	CC400_242	104	9	-29.5	-5.9
240	CC400_243	121	-56	-7.5	-11.3
241	CC400_244	170	-0.5	-26.8	57.9
242	CC400_245	128	1.6	-3.1	3.2
243	CC400_246	126	40.9	-14.9	-0.7
244	CC400_247	90	-2.1	-43	-40.7
245	CC400_248	122	7.7	-53	34.5
246	CC400_249	94	-19.2	48	34.9
247	CC400_250	110	63.8	-16.1	18.2
248	CC400_251	96	-56.3	-48.5	-10.5
249	CC400_252	109	50.5	-62.6	33.6
250	CC400_253	171	-1.2	-67.5	-16.6
251	CC400_254	51	-24.5	58.1	-3.5
252	CC400_255	128	10.6	35.1	52.9
253	CC400_256	76	11.5	-27.9	42.9
254	CC400_257	116	-26.5	-39.7	64.7
255	CC400_258	114	18.7	-69.4	-26.7
256	CC400_259	141	49.9	-62.4	-8.3
257	CC400_260	108	-25.4	16.8	-17
258	CC400_261	96	-57.6	-27.4	31.1
259	CC400_262	83	-19.6	-27.4	-23.9
260	CC400_263	118	-24.6	-71.3	35.2
261	CC400_264	81	-4.7	55	-9.1
262	CC400_265	140	50.6	25.6	23.6
263	CC400_266	143	-29.4	23.5	45.6
264	CC400_267	98	19.3	-28.2	-23.4
265	CC400_268	110	-13.8	-34.4	3.9
266	CC400_269	147	8.2	-83	28.1
267	CC400_270	144	64.1	-20.1	4.1
268	CC400_271	81	-53.3	6.3	-12.6
269	CC400_272	134	52.7	-39.7	48.3
270	CC400_273	90	48.3	37	-8.8
271	CC400_274	114	-41.6	-3.4	8.7
272	CC400_275	119	6.3	-53.1	50.4
273	CC400_276	126	-15.3	-41.7	-24.8
274	CC400_277	71	41.9	-6	-33.5
275	CC400_278	161	-39.2	-60	-12.4
276	CC400_279	82	-42	21.5	37
277	CC400_280	92	-52.1	-25.2	-5.6
278	CC400_281	106	38.5	-14.5	61.4
279	CC400_282	145	-23.9	-53.8	-8.4
280	CC400_283	127	-6.2	44.7	-0.8
281	CC400_284	92	30	-31.2	-9.4
282	CC400_285	82	37.6	16.6	52.6
283	CC400_286	142	0.9	-86.1	-13
284	CC400_287	143	28.2	-59.5	57
285	CC400_288	96	38.4	8.2	-20.2
286	CC400_289	102	9.6	47	42.4
287	CC400_290	104	59	-52.8	-6
288	CC400_291	113	-0.1	9	54.9
289	CC400_292	106	-13.4	1.7	-8.8
290	CC400_293	114	-53.4	5.6	29.6
291	CC400_294	131	43.6	-76.6	17.6
292	CC400_295	127	4	-52.9	-9.6
293	CC400_296	116	-40.4	-45.8	-18.7
294	CC400_297	112	-5.7	57.9	23
295	CC400_298	98	-30.3	7.5	-21.4
296	CC400_299	106	29.3	-15.5	-14.5
297	CC400_300	87	3.4	-39.6	-16
298	CC400_301	106	-28.7	-72.3	-35.9
299	CC400_302	131	50.6	-30	19.7
300	CC400_303	127	-5.2	-1.5	45.4
301	CC400_304	106	29.1	-4.5	53.2
302	CC400_305	142	-57.5	-10.3	10.6
303	CC400_306	128	26.2	24.5	50.2
304	CC400_307	117	33.5	16	-7.3
305	CC400_308	144	30.1	-73.3	33.8
306	CC400_309	41	18.4	-26.1	-11.4
307	CC400_310	96	17.4	-41.1	-27.5
308	CC400_312	68	-49.5	-7.9	-30.4
309	CC400_313	62	31.7	4.3	-36
310	CC400_314	105	-57.8	-45.4	23.6
311	CC400_315	89	-6.2	-54.7	-35.3
312	CC400_316	162	-6.2	6.4	66.1
313	CC400_317	127	51.8	-17	11.4
314	CC400_318	99	-30.8	-85.6	-15.4
315	CC400_319	102	-55.1	-52.1	6
316	CC400_320	103	46.9	36.4	15.6
317	CC400_321	116	5.8	-78.9	-25.8
318	CC400_322	130	37.8	-55.9	-17.6
319	CC400_323	132	39.1	-46.3	57.1
320	CC400_324	133	9.7	-91.6	2.9
321	CC400_325	125	7.2	43.5	-1
322	CC400_326	103	-22.5	-85.5	31
323	CC400_327	143	8.7	-74.9	42.1
324	CC400_328	100	14.6	-2.6	-12.1
325	CC400_329	115	58.3	0.2	-11.5
326	CC400_330	89	36.6	-27.5	-19.5
327	CC400_331	120	-47.2	-20.9	8.2
328	CC400_332	156	-11.1	-77.5	-9.3
329	CC400_333	106	16.3	-15.1	-19.2
330	CC400_334	64	-16.5	-4.3	67.5
331	CC400_335	84	28.4	-84.2	-23.2
332	CC400_336	150	58.2	-1.7	3
333	CC400_337	108	-25.7	-19.1	-15.2
334	CC400_338	104	41	25.2	-13.8
335	CC400_339	103	-22.1	7.2	1.6
336	CC400_340	66	-15.4	-94.6	18.6
337	CC400_341	132	50.3	-48.9	18.9
338	CC400_342	151	2.6	-68.2	19.4
339	CC400_343	95	-52.4	2.3	-25.9
340	CC400_344	121	41.2	-34.4	44.4
341	CC400_345	150	-46	-1.4	44
342	CC400_346	124	-48	-58.8	-20.4
343	CC400_347	100	37.7	13.7	7.4
344	CC400_348	134	22	-58.9	5
345	CC400_349	82	7.6	-51.3	-34.9
346	CC400_350	128	-9.9	-34.1	-14.1
347	CC400_351	142	-17.9	-63.6	4.4
348	CC400_352	155	-0.1	-10	57.9
349	CC400_353	110	-1.4	-88.8	16.2
350	CC400_354	125	41.2	11.3	29.9
351	CC400_355	110	-1.1	-53.9	64
352	CC400_356	97	37.8	-50.9	43.5
353	CC400_357	111	18.6	-81.6	-31.3
354	CC400_359	105	25.3	-30.1	66.2
355	CC400_360	112	-34.4	-46.6	57.1
356	CC400_361	122	34.5	-40.2	-20.8
357	CC400_362	91	-26.3	-94.3	-7.1
358	CC400_363	124	-47.9	-38.1	18.8
359	CC400_364	92	64.7	-39.7	4
360	CC400_365	61	14.1	-2.5	17.6
361	CC400_366	115	-46.1	13.5	-4.5
362	CC400_367	120	35	-89.1	7.5
363	CC400_368	143	-6.6	-49.8	35.5
364	CC400_370	111	-54.1	7.2	15.6
365	CC400_371	135	-0.8	31.3	40.6
366	CC400_372	139	24.7	-62.1	-10.1
367	CC400_373	100	-11.2	12.6	5.8
368	CC400_374	91	-57	-16	-20.5
369	CC400_375	103	27.3	-1.5	-7.1
370	CC400_376	107	23.9	-71.9	49.6
371	CC400_377	141	-15.2	-57.1	-20.7
372	CC400_378	177	0.7	-63.8	1.3
373	CC400_379	120	-30	49.3	21.2
374	CC400_380	96	7.3	-14.5	45.7
375	CC400_381	119	-24	-71.4	49
376	CC400_383	78	51.8	-9.2	-13.3
377	CC400_384	97	-42.4	-50.3	-33.9
378	CC400_385	49	-25.5	47.6	-13.5
379	CC400_386	84	22.4	52.7	31.4
380	CC400_387	94	35.9	54.9	6.6
381	CC400_388	92	-38	12.8	-34.6
382	CC400_389	79	3.4	-39.1	59
383	CC400_391	126	16.4	-41.5	-11.8
384	CC400_392	79	-8.7	64.9	9.4
385	CC400_393	111	7.7	-16	70.7
386	CC400_394	130	-42.3	-7.3	-6.5
387	CC400_395	124	61.8	-52.5	13.7
388	CC400_396	79	25.3	7.4	-17.9
389	CC400_397	93	40.7	46.5	18.5
390	CC400_398	107	12.1	-14.4	11.1
391	CC400_399	98	2	-26.4	-20.4
392	CC400_400	102	-29.1	39.9	32.6
